ID,Fuel_Type_Code,Station_Name,Street_Address,City,State,ZIP,Status_Code,Groups_With_Access_Code,Geocode_Status,Latitude,Longitude,Country,Groups_With_Access_Code_French,Access_Code
122473,ELEC,iPark 34 N 7th Street - Tesla Destination,34  N 7th St,Brooklyn,NY,11249,E,Public,200-9,40.720475,-73.96265,US,Public,public
122475,ELEC,IMPark 353 4th Ave - Tesla Destination,353 4th Ave,Brooklyn,NY,11215,E,Public,200-8,40.672845,-73.986284,US,Public,public
122476,ELEC,MTP Parking 363 Bond Street - Tesla Destination,363 Bond St,Brooklyn,NY,11231,E,Public,200-9,40.677977,-73.990135,US,Public,public
122477,ELEC,MTP Parking 568 Union Ave - Tesla Destination,568 Union Ave,Brooklyn,NY,11211,E,Public,200-9,40.717801,-73.951805,US,Public,public
122478,ELEC,ImPark Atlantic Terrace - Tesla Destination,669 Atlantic Ave,Brooklyn,NY,11217,E,Public,200-8,40.683295,-73.973753,US,Public,public
122479,ELEC,MTP Parking 755 Kent Ave - Tesla Destination,755 Kent Ave,Brooklyn,NY,11249,E,Public,200-8,40.698959,-73.9601,US,Public,public
122480,ELEC,The Rose Motel - Tesla Destination,3840 State Hwy 145,Durham,NY,12422,E,Public,200-8,42.399652,-74.172565,US,Public,public
122481,ELEC,Sylvan Kissena Garage LLC - Tesla Destination,43-70 Kissena Blvd,Flushing,NY,11355,E,Public,200-9,40.753639,-73.823616,US,Public,public
122482,ELEC,Excel Parking 87-10 Northern Blvd - Tesla Destination,87-10 Northern Blvd,Jackson Heights,NY,11372,E,Public,200-9,40.755829,-73.880211,US,Public,public
122483,ELEC,125-10 Queens Blvd Garage - Tesla Destination,123 83rd Ave,Kew Gardens,NY,11415,E,Public,GPS,40.7119045,-73.8267727,US,Public,public
122484,ELEC,Surfside on the Lake Hotel - Tesla Destination,400 Canada St,Lake George,NY,12845,E,Public,200-9,43.429712,-73.710506,US,Public,public
122485,ELEC,Fort William Henry - Tesla Destination,48 Canada St,Lake George,NY,12845,E,Public,200-9,43.421013,-73.712711,US,Public,public
122486,ELEC,TownePlace Suites by Marriott Syracuse Liverpool - Tesla Destination,8505 Carling Rd,Liverpool,NY,13090,E,Public,200-8,43.183881,-76.238636,US,Public,public
122487,ELEC,MTP Parking 31-00 47th Ave - Tesla Destination,31-00 47th Ave,Long Island City,NY,11101,E,Public,200-8,40.742875,-73.935806,US,Public,public
122488,ELEC,MTP Parking 41-42 24th Street - Tesla Destination,41-42 24th St,Long Island City,NY,11101,E,Public,200-9,40.751815,-73.941166,US,Public,public
122489,ELEC,iPark 400 E 85th St - Tesla Destination,400 E 85th St,Manhattan,NY,10028,E,Public,200-8,40.776008,-73.949934,US,Public,public
122491,ELEC,iPark NYC 75 Wall Street - Tesla Destination,75 Wall St,New York,NY,10005,E,Public,200-9,40.705042,-74.008118,US,Public,public
122495,ELEC,"Country Inn & Suites by Radisson, Lake George - Tesla Destination",1130 U.S. 9,Queensbury,NY,12804,E,Public,200-9,43.348226,-73.690167,US,Public,public
122496,ELEC,Shaheen's Adirondack Inn - Tesla Destination,314 Park St,Tupper Lake,NY,12986,E,Public,200-9,44.22469,-74.448721,US,Public,public
122497,ELEC,Doubletree by Hilton Hotel Utica - Tesla Destination,102 Lafayette St,Utica,NY,13502,E,Public,200-9,43.102844,-75.230952,US,Public,public
122498,ELEC,Best Western Watertown Fort Drum - Tesla Destination,300 Washington St,Watertown,NY,13601,E,Public,200-9,43.971836,-75.911773,US,Public,public
122592,ELEC,INDUSTRY CITY LOT B WEST,533 2nd Ave,Brooklyn,NY,11232,E,Public,GPS,40.659333,-74.006419,US,Public,public
122632,ELEC,SHELDON SUFFERN ORANGE APT 2,128 Orange Ave,Suffern,NY,10901,E,Public,GPS,41.115105,-74.153541,US,Public,public
