Fecha,Pasajeros_por_dia,Viajes_por_dia,Tarifario_por_dia,Total_recaudado_por_dia,Pago_con_tarjeta,Pago_con_efectivo,Tipo_de_Taxi
2022-03-22,6,2,23.5,35.74,0,2,yellow
2022-03-23,161241,122056,1655769.47,2469414.0,3501,94268,yellow
2022-03-24,163786,124345,1715959.03,2556177.7600000002,4310,95836,yellow
2022-03-25,169745,124059,1766208.81,2609439.28,3803,94117,yellow
2022-03-26,182665,127324,1700076.94,2501170.95,3953,98199,yellow
2022-03-27,150245,107222,1573289.62,2289977.29,3398,82276,yellow
2022-03-28,146984,112277,1573537.52,2330733.36,3539,85490,yellow
2022-03-29,161155,123866,1686676.18,2508631.2,3785,95901,yellow
2022-03-30,164975,126442,1725506.85,2571919.38,3735,98545,yellow
2022-03-31,168421,128465,1828583.68,2705961.16,4129,99804,yellow
2022-03-31,130,73,1233.0,1773.77,0,61,yellow
2022-04-01,181684,135547,1933364.89,2856416.39,5075,103870,yellow
2022-04-01,27,13,181.5,279.02,0,11,yellow
2022-04-02,6,3,29.5,44.519999999999996,0,2,yellow
2022-04-02,180169,127957,1763421.9,2574575.55,5067,97294,yellow
2022-04-03,4,2,14.5,25.619999999999997,0,2,yellow
2022-04-03,146553,104448,1556926.77,2260975.53,3897,79240,yellow
2022-04-04,144790,109726,1578139.63,2325282.05,3358,82581,yellow
2022-04-05,160249,121968,1704707.71,2521273.1,3927,93755,yellow
2022-04-06,2,1,8.5,12.8,0,1,yellow
2022-04-06,162832,124764,1761555.55,2605405.66,4529,96305,yellow
2022-04-07,168874,129116,1831356.03,2702341.93,5902,98511,yellow
2022-04-08,176926,130708,1917700.75,2817900.56,4787,99016,yellow
2022-04-09,183798,128584,1796096.39,2615545.14,5186,97834,yellow
2022-04-09,4,1,8.0,14.16,0,1,yellow
2022-04-10,157102,109767,1634556.76,2368334.27,3996,83111,yellow
2022-04-11,146223,107538,1574787.82,2307728.7600000002,2299,80585,yellow
2022-04-12,155962,117809,1864784.53,2693049.33,4110,89698,yellow
2022-04-12,11,3,27.0,43.92,0,3,yellow
2022-04-13,164095,122117,1808371.31,2643563.93,3536,93433,yellow
2022-04-14,173549,128179,1870554.48,2741927.69,3797,97617,yellow
2022-04-14,13,3,23.5,42.32,0,3,yellow
2022-04-15,173826,121835,1742255.03,2568407.1,3611,90710,yellow
2022-04-16,11,3,35.0,51.72,0,2,yellow
2022-04-16,170181,115277,1554878.22,2266724.71,3846,84474,yellow
2022-04-17,142787,96306,1417948.71,2051992.34,2741,70689,yellow
2022-04-18,141123,103235,1499507.26,2209978.85,2629,76577,yellow
2022-04-19,160517,118539,1664865.78,2463267.42,2741,90650,yellow
2022-04-20,164846,121534,1741457.97,2564550.24,2829,92760,yellow
2022-04-21,175127,127415,1809018.35,2675167.46,2851,97617,yellow
2022-04-22,180611,128247,1816716.52,2682205.97,3046,97918,yellow
2022-04-23,178282,124411,1790114.57,2586820.16,4073,94801,yellow
2022-04-23,5,3,22.0,38.64,0,3,yellow
2022-04-24,146795,103935,1628850.9,2341073.58,3686,78644,yellow
2022-04-24,4,2,12.5,22.92,0,2,yellow
2022-04-25,141013,106623,1571541.1,2309370.13,2998,80580,yellow
2022-04-26,156267,120156,1715958.28,2533295.25,3705,92759,yellow
2022-04-27,166707,127674,1846506.31,2722208.7600000002,4458,98628,yellow
2022-04-28,168553,129292,1927932.01,2828108.25,4952,99280,yellow
2022-04-29,171968,129113,1899122.27,2790417.98,5401,97679,yellow
2022-04-30,180006,127942,1830755.75,2651222.73,5841,95798,yellow
2022-04-30,186,106,1441.5,2148.04,0,87,yellow
2022-05-01,73,49,834.54,1202.59,0,34,yellow
2022-05-01,136740,100191,1622051.85,2322043.19,5060,74471,yellow
2022-05-02,122213,95596,1445929.79,2113397.67,4288,70640,yellow
2022-05-02,22,22,368.0,530.75,0,18,yellow
2022-05-03,10,3,24.5,35.480000000000004,0,2,yellow
2022-05-03,155460,120446,1741654.3,2567081.39,4258,91904,yellow
2022-05-03,7,7,80.0,126.2,0,6,yellow
2022-05-04,162262,125434,1783785.16,2641224.05,4290,96739,yellow
2022-05-05,172872,131774,1937813.09,2847494.44,4725,100934,yellow
2022-05-06,15,4,22.0,42.120000000000005,0,3,yellow
2022-05-06,167461,128032,1896955.78,2781671.02,7085,96047,yellow
2022-05-07,165088,118187,1612018.23,2358364.88,5841,88495,yellow
2022-05-08,12,3,36.5,54.32,0,2,yellow
2022-05-08,145569,103575,1571598.89,2269411.94,4358,77657,yellow
2022-05-09,141881,107893,1607266.94,2361895.74,3250,81593,yellow
2022-05-10,157834,121334,1748779.8,2579051.07,3810,93223,yellow
2022-05-11,165675,127614,1841043.44,2714939.07,4170,98156,yellow
2022-05-12,174361,133017,1967378.3,2900195.52,4592,102307,yellow
2022-05-13,172700,129999,1967166.24,2880217.75,5238,98841,yellow
2022-05-14,175163,125805,1849431.98,2671047.63,5524,95133,yellow
2022-05-15,4,2,26.5,33.1,0,0,yellow
2022-05-15,10,4,41.0,57.64,0,2,yellow
2022-05-15,147936,106627,1718033.81,2463570.32,4681,79956,yellow
2022-05-16,149667,113886,1726915.02,2529439.53,3338,86556,yellow
2022-05-17,161275,122954,1956348.81,2832465.04,3662,94658,yellow
2022-05-18,8,2,13.0,24.76,0,2,yellow
2022-05-18,164669,125685,1982589.99,2877685.2,4084,96810,yellow
2022-05-19,169792,128777,2048096.31,2973584.03,4403,99471,yellow
2022-05-20,166794,123896,1947723.04,2831650.33,4315,94524,yellow
2022-05-21,174747,124071,1929263.14,2760093.83,5254,93585,yellow
2022-05-22,141457,101488,1684514.17,2396904.03,4356,76007,yellow
2022-05-23,146616,110461,1725075.43,2515907.22,3111,83457,yellow
2022-05-24,158473,120595,1802781.59,2637447.12,3084,93402,yellow
2022-05-24,2,1,4.0,9.36,0,1,yellow
2022-05-25,161262,121986,1864036.52,2720477.41,3619,94609,yellow
2022-05-26,161109,121296,1855444.21,2712150.68,3538,93441,yellow
2022-05-27,150892,110473,1676716.04,2442135.2,3545,82238,yellow
2022-05-28,144742,98828,1452684.87,2089136.37,3110,71859,yellow
2022-05-29,135243,91671,1428698.98,2034550.43,3268,65850,yellow
2022-05-30,119483,83190,1344747.74,1930619.33,2605,61688,yellow
2022-05-31,58,43,705.0,1022.45,0,31,yellow
2022-05-31,151582,113371,1689153.41,2464961.61,3062,85763,yellow
2022-06-01,34,22,352.5,511.01,0,17,yellow
2022-06-01,159721,121897,1787509.92,2609174.55,4061,92869,yellow
2022-06-02,164969,125442,1878740.16,2742956.87,4495,95885,yellow
2022-06-03,167403,124843,1878278.09,2733057.13,4729,93528,yellow
2022-06-04,175957,122564,1752664.49,2530847.21,4254,91978,yellow
2022-06-05,143750,102225,1650773.65,2358673.45,3676,76771,yellow
2022-06-06,150278,112515,1689360.78,2474115.93,3329,85006,yellow
2022-06-07,167073,127606,1864872.72,2738693.38,4453,98106,yellow
2022-06-08,169456,129391,1923823.91,2820704.15,4513,99639,yellow
2022-06-09,175984,132859,2028592.23,2962533.64,4795,102678,yellow
2022-06-10,173946,128739,1982243.0,2882857.77,5135,97542,yellow
2022-06-11,172276,121444,2193106.24,2984185.33,4887,91787,yellow
2022-06-12,139624,99095,1610010.98,2301366.0,3753,74881,yellow
2022-06-13,156719,118511,1785666.06,2620075.74,3912,89692,yellow
2022-06-14,165391,125404,1881145.76,2750948.87,4526,95993,yellow
2022-06-15,171898,130473,1984520.3,2897135.65,4648,100264,yellow
2022-06-16,168957,129297,1947263.28,2848055.36,5077,99621,yellow
2022-06-17,167824,125639,1952628.92,2845463.68,5242,94825,yellow
2022-06-18,164528,116015,1712670.11,2464722.83,4643,85936,yellow
2022-06-19,140790,98895,1547655.5,2216316.34,4285,72810,yellow
2022-06-20,137912,100787,1557012.25,2272992.28,3324,75771,yellow
2022-06-21,159039,121645,1810960.48,2648342.11,4591,92745,yellow
2022-06-22,161196,123232,1836053.16,2679573.94,4699,94764,yellow
2022-06-23,171646,130512,2003564.27,2924887.34,5136,100221,yellow
2022-06-24,169023,124645,1923313.68,2793829.7600000002,4895,94124,yellow
2022-06-25,170881,119974,1779352.41,2551109.0100000002,5081,89278,yellow
2022-06-26,130303,93154,1554946.64,2201000.89,4388,68666,yellow
2022-06-27,137683,104815,1608878.95,2341374.1,3882,78127,yellow
2022-06-28,150950,114168,1688477.55,2466143.0,3816,86562,yellow
2022-06-29,154530,117386,1715239.56,2515669.52,4125,89281,yellow
2022-06-30,152296,114440,1719067.39,2510191.04,4098,86357,yellow
2022-06-30,107,58,933.0,1361.32,0,48,yellow
2022-07-01,28,22,261.5,381.5,0,13,yellow
2022-07-01,140447,102176,1523208.5,2214772.15,3714,74192,yellow
2022-07-02,129404,86782,1240973.25,1785492.92,2371,62242,yellow
2022-07-03,111602,74899,1124306.51,1602668.89,2219,52467,yellow
2022-07-04,94628,64887,1043412.99,1482994.51,2916,45843,yellow
