,Unnamed: 0,pickup_date,weekday,total_amount,row_count
0,0,2021-01-01,Viernes,467086.16,24827
1,1,2021-01-02,Sábado,650303.53,34309
2,2,2021-01-03,Domingo,538830.02,26345
3,3,2021-01-04,Lunes,825588.0700000001,44545
4,4,2021-01-05,Martes,830567.6,46880
5,5,2021-01-06,Miércoles,859778.3200000001,49547
6,6,2021-01-07,Jueves,886008.23,50290
7,7,2021-01-08,Viernes,871206.52,50477
8,8,2021-01-09,Sábado,695909.55,39911
9,9,2021-01-10,Domingo,556351.0,29855
10,10,2021-01-11,Lunes,816635.16,46849
11,11,2021-01-12,Martes,868226.91,50133
12,12,2021-01-13,Miércoles,873117.08,51306
13,13,2021-01-14,Jueves,925183.82,53051
14,14,2021-01-15,Viernes,924665.2,53024
15,15,2021-01-16,Sábado,668848.28,38723
16,16,2021-01-17,Domingo,576767.92,31985
17,17,2021-01-18,Lunes,653267.58,37092
18,18,2021-01-19,Martes,889278.46,51149
19,19,2021-01-20,Miércoles,836173.93,49437
20,20,2021-01-21,Jueves,929307.27,53280
21,21,2021-01-22,Viernes,933129.18,54285
22,22,2021-01-23,Sábado,698308.62,42054
23,23,2021-01-24,Domingo,554128.97,31033
24,24,2021-01-25,Lunes,821057.0700000001,47423
25,25,2021-01-26,Martes,805651.51,47818
26,26,2021-01-27,Miércoles,894418.64,52655
27,27,2021-01-28,Jueves,959114.49,56444
28,28,2021-01-29,Viernes,929731.06,54602
29,29,2021-01-30,Sábado,657641.24,39233
30,30,2021-01-31,Domingo,539195.22,31183
31,31,2021-02-01,Lunes,32.94,3
32,32,2021-02-22,Lunes,10.56,1
33,0,2021-09-30,Jueves,1201.07,62
34,1,2021-10-01,Viernes,2420482.84,117062
35,2,2021-10-02,Sábado,2237654.45,115086
36,3,2021-10-03,Domingo,1966996.77,91230
37,4,2021-10-04,Lunes,2001830.23,96858
38,5,2021-10-05,Martes,2090068.67,106648
39,6,2021-10-06,Miércoles,2258767.51,113020
40,7,2021-10-07,Jueves,2453635.76,118556
41,8,2021-10-08,Viernes,2491611.29,120242
42,9,2021-10-09,Sábado,2266199.09,116817
43,10,2021-10-10,Domingo,1935289.47,93850
44,11,2021-10-11,Lunes,1822223.26,86890
45,12,2021-10-12,Martes,2170632.56,108054
46,13,2021-10-13,Miércoles,2254944.36,112723
47,14,2021-10-14,Jueves,2493891.04,121767
48,15,2021-10-15,Viernes,2572622.19,124091
49,16,2021-10-16,Sábado,2335521.01,121955
50,17,2021-10-17,Domingo,2118439.79,100790
51,18,2021-10-18,Lunes,2133219.08,103856
52,19,2021-10-19,Martes,2197696.31,110716
53,20,2021-10-20,Miércoles,2372404.49,119077
54,21,2021-10-21,Jueves,2528948.33,122809
55,22,2021-10-22,Viernes,2530945.62,122858
56,23,2021-10-23,Sábado,2333060.25,119757
57,24,2021-10-24,Domingo,2077260.1,98929
58,25,2021-10-25,Lunes,2065891.59,99949
59,26,2021-10-26,Martes,2016505.19,101866
60,27,2021-10-27,Miércoles,2426612.47,119847
61,28,2021-10-28,Jueves,2587095.84,125607
62,29,2021-10-29,Viernes,2648874.43,130631
63,30,2021-10-30,Sábado,2308751.08,119589
64,31,2021-10-31,Domingo,2110420.7,102263
65,32,2021-11-01,Lunes,411.53,14
66,33,2021-11-16,Martes,30.6,2
67,34,2021-12-08,Miércoles,27.88,1
68,0,2021-10-31,Domingo,1011.85,47
69,1,2021-11-01,Lunes,2220274.32,106486
70,2,2021-11-02,Martes,2213131.68,115847
71,3,2021-11-03,Miércoles,2417255.02,121837
