,Unnamed: 0,pickup_date,weekday,total_amount,row_count
72,4,2021-11-04,Jueves,2608809.32,127917
73,5,2021-11-05,Viernes,2685987.21,129921
74,6,2021-11-06,Sábado,2522553.71,131460
75,7,2021-11-07,Domingo,2205981.45,100647
76,8,2021-11-08,Lunes,2273000.85,106822
77,9,2021-11-09,Martes,2419704.98,118745
78,10,2021-11-10,Miércoles,2630522.71,126617
79,11,2021-11-11,Jueves,2612379.53,123715
80,12,2021-11-12,Viernes,2626567.08,128010
81,13,2021-11-13,Sábado,2608377.29,132310
82,14,2021-11-14,Domingo,2365904.54,109696
83,15,2021-11-15,Lunes,2423519.64,114815
84,16,2021-11-16,Martes,2512578.1,122700
85,17,2021-11-17,Miércoles,2610318.96,126605
86,18,2021-11-18,Jueves,2792572.67,133377
87,19,2021-11-19,Viernes,2837751.47,135462
88,20,2021-11-20,Sábado,2636559.03,131453
89,21,2021-11-21,Domingo,2233377.22,105078
90,22,2021-11-22,Lunes,2314106.43,112469
91,23,2021-11-23,Martes,2538900.12,120235
92,24,2021-11-24,Miércoles,2264835.11,108408
93,25,2021-11-25,Jueves,1439736.15,70312
94,26,2021-11-26,Viernes,1779629.36,89887
95,27,2021-11-27,Sábado,2137334.24,104505
96,28,2021-11-28,Domingo,2052436.67,90990
97,29,2021-11-29,Lunes,2303880.47,107130
98,30,2021-11-30,Martes,2510560.48,119366
99,31,2021-12-01,Miércoles,621.52,21
100,32,2021-12-18,Sábado,34.68,3
101,33,2021-12-19,Domingo,76.39999999999999,2
102,34,2021-12-21,Martes,35.54,2
103,0,2021-11-30,Martes,1253.94,54
104,1,2021-12-01,Miércoles,2554847.58,121986
105,2,2021-12-02,Jueves,2739790.48,128647
106,3,2021-12-03,Viernes,2836437.05,136231
107,4,2021-12-04,Sábado,2658478.89,132392
108,5,2021-12-05,Domingo,2412987.89,109654
109,6,2021-12-06,Lunes,2395795.75,112665
110,7,2021-12-07,Martes,2597753.01,126649
111,8,2021-12-08,Miércoles,2749350.63,131662
112,9,2021-12-09,Jueves,2887334.96,134724
113,10,2021-12-10,Viernes,2879393.97,133497
114,11,2021-12-11,Sábado,2647709.58,130247
115,12,2021-12-12,Domingo,2384260.35,107167
116,13,2021-12-13,Lunes,2353021.46,111299
117,14,2021-12-14,Martes,2467388.86,120218
118,15,2021-12-15,Miércoles,2583136.34,125048
119,16,2021-12-16,Jueves,2669893.21,126270
120,17,2021-12-17,Viernes,2635029.68,124147
121,18,2021-12-18,Sábado,2186735.18,110279
122,19,2021-12-19,Domingo,1933518.33,91200
123,20,2021-12-20,Lunes,1944462.22,94213
124,21,2021-12-21,Martes,1882461.47,93093
125,22,2021-12-22,Miércoles,1853695.52,91699
126,23,2021-12-23,Jueves,1770434.14,87850
127,24,2021-12-24,Viernes,1327291.09,69619
128,25,2021-12-25,Sábado,876040.07,40807
129,26,2021-12-26,Domingo,1221675.22,54705
130,27,2021-12-27,Lunes,1482914.24,69897
131,28,2021-12-28,Martes,1578312.42,75037
132,29,2021-12-29,Miércoles,1570342.82,74989
133,30,2021-12-30,Jueves,1638215.07,77968
134,31,2021-12-31,Viernes,1414858.99,70402
135,0,2021-01-31,Domingo,170.86,8
136,1,2021-02-01,Lunes,130119.42,6803
137,2,2021-02-02,Martes,502990.39,29178
138,3,2021-02-03,Miércoles,1001227.8,55440
139,4,2021-02-04,Jueves,1117201.95,59326
140,5,2021-02-05,Viernes,1041396.58,57770
141,6,2021-02-06,Sábado,849422.04,49987
142,7,2021-02-07,Domingo,486237.38,27488
143,8,2021-02-08,Lunes,916848.29,51729
144,9,2021-02-09,Martes,923042.66,52733
145,10,2021-02-10,Miércoles,1036861.0,57855
146,11,2021-02-11,Jueves,1029083.96,58625
147,12,2021-02-12,Viernes,1131851.31,63611
148,13,2021-02-13,Sábado,814403.24,48355
149,14,2021-02-14,Domingo,692746.24,39672
150,15,2021-02-15,Lunes,698125.06,40322
151,16,2021-02-16,Martes,913410.53,51211
152,17,2021-02-17,Miércoles,1060142.15,60166
153,18,2021-02-18,Jueves,652159.18,38121
154,19,2021-02-19,Viernes,899473.03,53029
155,20,2021-02-20,Sábado,864311.01,51340
156,21,2021-02-21,Domingo,661534.11,37119
157,22,2021-02-22,Lunes,891851.65,50699
158,23,2021-02-23,Martes,1002568.4,57160
159,24,2021-02-24,Miércoles,1060569.91,59969
160,25,2021-02-25,Jueves,1111262.44,61984
161,26,2021-02-26,Viernes,1154726.34,65394
162,27,2021-02-27,Sábado,833289.6,48980
163,28,2021-02-28,Domingo,675307.4400000001,37612
164,29,2021-03-01,Lunes,17.89,2
165,0,2021-02-28,Domingo,107.6,7
166,1,2021-03-01,Lunes,970698.61,54836
167,2,2021-03-02,Martes,1066016.89,61843
168,3,2021-03-03,Miércoles,1105674.17,63297
169,4,2021-03-04,Jueves,1162846.79,67141
170,5,2021-03-05,Viernes,1223708.14,69582
171,6,2021-03-06,Sábado,928215.11,55004
172,7,2021-03-07,Domingo,707911.45,38947
173,8,2021-03-08,Lunes,999191.1,56282
174,9,2021-03-09,Martes,1084855.97,62056
175,10,2021-03-10,Miércoles,1140563.74,64635
176,11,2021-03-11,Jueves,1211553.8,68222
177,12,2021-03-12,Viernes,1287181.91,71716
178,13,2021-03-13,Sábado,1047065.43,60870
179,14,2021-03-14,Domingo,789407.9400000001,43964
180,15,2021-03-15,Lunes,1076518.45,61407
181,16,2021-03-16,Martes,1144362.84,65479
182,17,2021-03-17,Miércoles,1234252.92,71510
183,18,2021-03-18,Jueves,1657824.99,71539
184,19,2021-03-19,Viernes,1308985.16,74427
185,20,2021-03-20,Sábado,1075803.3,61538
186,21,2021-03-21,Domingo,841764.59,45124
187,22,2021-03-22,Lunes,1088150.27,59959
188,23,2021-03-23,Martes,1125300.03,63548
189,24,2021-03-24,Miércoles,1201636.15,68659
190,25,2021-03-25,Jueves,1250456.96,69841
191,26,2021-03-26,Viernes,1342048.12,73535
192,27,2021-03-27,Sábado,1207385.11,67392
193,28,2021-03-28,Domingo,749072.11,40404
194,29,2021-03-29,Lunes,1048538.34,58127
195,30,2021-03-30,Martes,1208608.13,66702
196,31,2021-03-31,Miércoles,1211506.33,67533
197,32,2021-04-01,Jueves,94.98,5
198,33,2021-04-14,Miércoles,36.88,3
199,34,2021-05-05,Miércoles,45.77,4
200,35,2021-05-27,Jueves,53.92,3
201,0,2021-03-31,Miércoles,186.39,9
202,1,2021-04-01,Jueves,1304525.92,72429
203,2,2021-04-02,Viernes,1293156.98,72350
204,3,2021-04-03,Sábado,1090643.9,61847
205,4,2021-04-04,Domingo,885045.71,46310
206,5,2021-04-05,Lunes,1179667.77,62955
207,6,2021-04-06,Martes,1303333.79,70472
208,7,2021-04-07,Miércoles,1365819.7,74661
209,8,2021-04-08,Jueves,1438518.18,77611
210,9,2021-04-09,Viernes,1456681.51,78827
211,10,2021-04-10,Sábado,1624349.41,68688
212,11,2021-04-11,Domingo,884875.64,47584
213,12,2021-04-12,Lunes,1298891.57,70272
214,13,2021-04-13,Martes,1368016.46,74244
215,14,2021-04-14,Miércoles,1405256.59,77296
216,15,2021-04-15,Jueves,1469649.56,80429
217,16,2021-04-16,Viernes,1538139.49,82456
218,17,2021-04-17,Sábado,1324335.33,74101
219,18,2021-04-18,Domingo,1024284.26,54143
220,19,2021-04-19,Lunes,1249100.54,67688
221,20,2021-04-20,Martes,1456073.97,78724
222,21,2021-04-21,Miércoles,1425706.95,79367
223,22,2021-04-22,Jueves,1524703.43,84344
224,23,2021-04-23,Viernes,1568975.59,84623
225,24,2021-04-24,Sábado,1427453.99,78858
226,25,2021-04-25,Domingo,938965.27,49330
227,26,2021-04-26,Lunes,1315839.05,70215
228,27,2021-04-27,Martes,1395764.78,76481
229,28,2021-04-28,Miércoles,1535227.42,83551
230,29,2021-04-29,Jueves,1536371.16,82210
231,30,2021-04-30,Viernes,1667249.39,89079
232,31,2021-05-01,Sábado,624.02,23
233,32,2021-05-16,Domingo,12.96,1
234,33,2021-06-06,Domingo,17.3,1
235,34,2021-06-27,Domingo,34.19,2
236,35,2021-07-19,Lunes,31.02,1
237,0,2021-04-30,Viernes,1092.91,62
238,1,2021-05-01,Sábado,1455056.54,80694
239,2,2021-05-02,Domingo,1176622.88,60957
240,3,2021-05-03,Lunes,1402760.11,75261
241,4,2021-05-04,Martes,1473721.32,80894
242,5,2021-05-05,Miércoles,1582469.51,87025
243,6,2021-05-06,Jueves,1668361.76,88472
244,7,2021-05-07,Viernes,1747447.96,92383
245,8,2021-05-08,Sábado,1429612.37,80021
246,9,2021-05-09,Domingo,1240118.4,64461
247,10,2021-05-10,Lunes,1406621.06,74390
248,11,2021-05-11,Martes,1550769.21,83498
249,12,2021-05-12,Miércoles,1616615.99,86867
250,13,2021-05-13,Jueves,1572364.23,82527
251,14,2021-05-14,Viernes,1779029.54,92518
252,15,2021-05-15,Sábado,1648356.48,88865
253,16,2021-05-16,Domingo,1308619.63,66386
254,17,2021-05-17,Lunes,1385079.24,74097
255,18,2021-05-18,Martes,1566019.0,84772
256,19,2021-05-19,Miércoles,1708172.06,90733
257,20,2021-05-20,Jueves,1792138.92,92693
258,21,2021-05-21,Viernes,1826015.88,94927
259,22,2021-05-22,Sábado,1717366.31,93359
260,23,2021-05-23,Domingo,1392624.76,71494
261,24,2021-05-24,Lunes,1547284.37,81403
262,25,2021-05-25,Martes,1669051.14,88685
263,26,2021-05-26,Miércoles,1782351.93,93364
264,27,2021-05-27,Jueves,1805668.71,92463
265,28,2021-05-28,Viernes,1712590.42,87929
266,29,2021-05-29,Sábado,1180924.13,64946
267,30,2021-05-30,Domingo,1035100.74,54240
268,31,2021-05-31,Lunes,1175067.39,56691
269,32,2021-06-01,Martes,642.8,18
270,33,2021-06-16,Miércoles,75.69,4
271,34,2021-07-08,Jueves,39.12,1
272,35,2021-07-29,Jueves,20.56,2
273,0,2021-05-31,Lunes,857.46,29
274,1,2021-06-01,Martes,1670767.31,86003
275,2,2021-06-02,Miércoles,1767531.17,92571
276,3,2021-06-03,Jueves,1831931.17,96504
277,4,2021-06-04,Viernes,1853848.47,95589
278,5,2021-06-05,Sábado,1820462.63,97983
279,6,2021-06-06,Domingo,1535681.45,77633
280,7,2021-06-07,Lunes,1697131.49,88869
281,8,2021-06-08,Martes,1788447.11,94675
282,9,2021-06-09,Miércoles,1873744.38,99484
283,10,2021-06-10,Jueves,2016621.3,103981
284,11,2021-06-11,Viernes,1918452.92,98321
285,12,2021-06-12,Sábado,1779587.28,93963
286,13,2021-06-13,Domingo,1496916.75,73784
287,14,2021-06-14,Lunes,1695242.25,86939
288,15,2021-06-15,Martes,1890917.35,98038
289,16,2021-06-16,Miércoles,1958225.89,102171
290,17,2021-06-17,Jueves,2078112.88,102964
291,18,2021-06-18,Viernes,2008706.48,98994
292,19,2021-06-19,Sábado,1810697.71,96406
293,20,2021-06-20,Domingo,1558053.81,77945
294,21,2021-06-21,Lunes,1758869.85,90870
295,22,2021-06-22,Martes,1907247.93,99019
296,23,2021-06-23,Miércoles,2004342.36,102895
297,24,2021-06-24,Jueves,2083056.67,104639
298,25,2021-06-25,Viernes,2068041.98,103294
299,26,2021-06-26,Sábado,1911303.39,98690
300,27,2021-06-27,Domingo,1607311.16,77377
301,28,2021-06-28,Lunes,1779390.67,91543
302,29,2021-06-29,Martes,1908102.64,101112
303,30,2021-06-30,Miércoles,1938722.66,101885
304,31,2021-07-01,Jueves,786.75,28
305,32,2021-07-02,Viernes,71.28,3
306,33,2021-07-03,Sábado,40.68,2
307,34,2021-07-04,Domingo,78.88,1
308,35,2021-07-06,Martes,63.1,1
309,36,2021-07-08,Jueves,39.12,2
310,37,2021-07-19,Lunes,63.13,4
311,38,2021-08-09,Lunes,48.86,3
312,39,2021-08-31,Martes,33.78,2
313,40,2021-09-21,Martes,34.900000000000006,3
314,41,2021-10-12,Martes,53.6,3
315,42,2021-11-03,Miércoles,28.6,2
316,43,2021-11-24,Miércoles,41.22,3
317,44,2021-12-15,Miércoles,120.41,5
318,0,2021-06-30,Miércoles,801.59,38
319,1,2021-07-01,Jueves,1871279.58,93820
320,2,2021-07-02,Viernes,1722631.15,87543
321,3,2021-07-03,Sábado,1346003.48,71120
322,4,2021-07-04,Domingo,1240506.92,60543
323,5,2021-07-05,Lunes,1369832.16,64728
324,6,2021-07-06,Martes,1708442.53,89456
325,7,2021-07-07,Miércoles,1883142.81,97200
326,8,2021-07-08,Jueves,1873699.2,94578
327,9,2021-07-09,Viernes,1862509.76,93585
328,10,2021-07-10,Sábado,1821587.29,93833
329,11,2021-07-11,Domingo,1569024.32,75946
330,12,2021-07-12,Lunes,1687675.52,84894
331,13,2021-07-13,Martes,1870793.82,96611
332,14,2021-07-14,Miércoles,2019836.06,104614
333,15,2021-07-15,Jueves,2133764.85,105982
334,16,2021-07-16,Viernes,2058224.51,102904
335,17,2021-07-17,Sábado,1833683.75,95224
336,18,2021-07-18,Domingo,1634486.13,77369
337,19,2021-07-19,Lunes,1782617.75,88955
338,20,2021-07-20,Martes,1806142.33,92406
339,21,2021-07-21,Miércoles,1930294.31,98231
340,22,2021-07-22,Jueves,2085711.68,103919
341,23,2021-07-23,Viernes,2018582.09,99030
342,24,2021-07-24,Sábado,1853167.72,93242
343,25,2021-07-25,Domingo,1573105.17,75565
344,26,2021-07-26,Lunes,1793389.4,89119
345,27,2021-07-27,Martes,1908481.62,99331
346,28,2021-07-28,Miércoles,1945570.31,99681
347,29,2021-07-29,Jueves,1987641.88,99734
348,30,2021-07-30,Viernes,2035409.91,99152
349,31,2021-07-31,Sábado,1858805.16,93301
350,32,2021-08-01,Domingo,799.42,30
351,33,2021-08-02,Lunes,15.96,1
352,0,2021-07-14,Miércoles,471.17,25
353,1,2021-07-15,Jueves,475.12,26
354,2,2021-07-16,Viernes,414.23,20
355,3,2021-07-17,Sábado,343.96000000000004,18
356,4,2021-07-18,Domingo,436.44,15
357,5,2021-07-19,Lunes,450.77,20
358,6,2021-07-20,Martes,565.66,27
359,7,2021-07-21,Miércoles,573.15,40
360,8,2021-07-22,Jueves,438.78,21
361,9,2021-07-23,Viernes,452.07,19
362,10,2021-07-24,Sábado,534.54,24
363,11,2021-07-25,Domingo,345.98,15
364,12,2021-07-26,Lunes,410.45,13
365,13,2021-07-27,Martes,504.42,29
366,14,2021-07-28,Miércoles,361.7,21
367,15,2021-07-29,Jueves,475.41,26
368,16,2021-07-30,Viernes,398.11,10
369,17,2021-07-31,Sábado,1886.71,83
370,18,2021-08-01,Domingo,1547121.66,73056
371,19,2021-08-02,Lunes,1703776.71,83304
372,20,2021-08-03,Martes,1853173.72,93910
373,21,2021-08-04,Miércoles,1924065.92,97778
374,22,2021-08-05,Jueves,1977930.09,99331
375,23,2021-08-06,Viernes,1989366.83,97852
376,24,2021-08-07,Sábado,1792877.46,90630
377,25,2021-08-08,Domingo,1569332.26,74449
378,26,2021-08-09,Lunes,1695517.72,83046
379,27,2021-08-10,Martes,1869966.24,96402
380,28,2021-08-11,Miércoles,1940677.16,100816
381,29,2021-08-12,Jueves,2011078.46,99203
382,30,2021-08-13,Viernes,2012551.46,99126
383,31,2021-08-14,Sábado,1808708.63,91550
384,32,2021-08-15,Domingo,1632924.57,76813
385,33,2021-08-16,Lunes,1683859.11,82197
386,34,2021-08-17,Martes,1786612.44,91749
387,35,2021-08-18,Miércoles,1875778.29,95926
388,36,2021-08-19,Jueves,2010310.03,99488
389,37,2021-08-20,Viernes,2030783.6,99268
390,38,2021-08-21,Sábado,1958005.95,98613
391,39,2021-08-22,Domingo,1183887.59,53247
392,40,2021-08-23,Lunes,1675706.78,80802
393,41,2021-08-24,Martes,1853347.05,93733
394,42,2021-08-25,Miércoles,1934774.8,98428
395,43,2021-08-26,Jueves,2019084.99,101124
396,44,2021-08-27,Viernes,1969704.62,96582
397,45,2021-08-28,Sábado,1773988.78,89008
398,46,2021-08-29,Domingo,1641732.74,73010
399,47,2021-08-30,Lunes,1724089.64,84107
400,48,2021-08-31,Martes,1868662.72,93683
401,49,2021-09-01,Miércoles,542.76,25
402,0,2021-08-31,Martes,800.07,33
403,1,2021-09-01,Miércoles,1754615.57,88160
404,2,2021-09-02,Jueves,2158421.17,93100
405,3,2021-09-03,Viernes,2079554.91,95630
406,4,2021-09-04,Sábado,1788107.87,88527
407,5,2021-09-05,Domingo,2385447.06,74209
408,6,2021-09-06,Lunes,1570733.21,71712
409,7,2021-09-07,Martes,1825293.94,88673
410,8,2021-09-08,Miércoles,2039343.15,102042
411,9,2021-09-09,Jueves,2261560.11,105817
412,10,2021-09-10,Viernes,2331543.79,109813
413,11,2021-09-11,Sábado,2098592.13,107560
414,12,2021-09-12,Domingo,1884987.2,87232
415,13,2021-09-13,Lunes,2041352.94,95735
416,14,2021-09-14,Martes,2051216.87,102209
417,15,2021-09-15,Miércoles,2113867.8,106884
418,16,2021-09-16,Jueves,1999689.5,102456
419,17,2021-09-17,Viernes,2297415.93,110693
420,18,2021-09-18,Sábado,2165993.17,111362
421,19,2021-09-19,Domingo,1871030.93,88272
422,20,2021-09-20,Lunes,1961822.21,92218
423,21,2021-09-21,Martes,2010657.13,99868
424,22,2021-09-22,Miércoles,2107828.01,105877
425,23,2021-09-23,Jueves,2169965.99,104169
426,24,2021-09-24,Viernes,2380637.97,109419
427,25,2021-09-25,Sábado,2224799.63,112977
428,26,2021-09-26,Domingo,1925670.29,91222
429,27,2021-09-27,Lunes,1921986.39,93752
430,28,2021-09-28,Martes,1949754.19,100970
431,29,2021-09-29,Miércoles,2123662.28,108179
432,30,2021-09-30,Jueves,2355760.94,114951
433,31,2021-10-01,Viernes,837.5,42
