ID,Fuel Type Code,Station Name,City,State,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Network,Geocode Status,Latitude,Longitude,NG Vehicle Class,EV Connector Types,Groups With Access Code (French),Access Detail Code,CNG Dispenser Num,CNG Vehicle Class,LNG Vehicle Class
148044,ELEC,Elm Ave,Niskayuna,NY,,10.0,,SemaCharge Network,GPS,42.8255827,-73.8793366,,J1772,Public,,,,
148083,ELEC,Lake Mohonk,New Paltz,NY,,4.0,,SemaCharge Network,GPS,41.769287550079,-74.157100212442,,J1772,Public,,,,
148164,ELEC,BottleBuys,Glen Head,NY,,2.0,,SemaCharge Network,GPS,40.8375748,-73.6143791,,J1772,Public,,,,
148165,ELEC,Bottle Bargains,Northport,NY,,2.0,,SemaCharge Network,GPS,40.9081167,-73.3154628,,J1772,Public,,,,
149087,ELEC,ICE RINK LIBRARY,Saugerties,NY,,2.0,,ChargePoint Network,GPS,42.07773,-73.94865,,J1772,Public,,,,
149107,ELEC,Brighton Memorial Library,Rochester,NY,,2.0,,Non-Networked,200-9,43.127059,-77.575573,,J1772,Public,,,,
149114,ELEC,TOWN SAND LAKE SAND LAKE,Averill Park,NY,,2.0,,ChargePoint Network,GPS,42.638393,-73.54167,,J1772,Public,,,,
149178,ELEC,WHEATLAND-CHILI HIGH SCH #1,Scottsville,NY,,1.0,,ChargePoint Network,GPS,43.027301,-77.763043,,J1772,Public,,,,
149273,ELEC,TOWN GERMANTOWN MUNICIPAL LOT,Germantown,NY,,2.0,,ChargePoint Network,GPS,42.132595,-73.88265,,J1772,Public,,,,
149299,ELEC,Mall at Bay Plaza - Tesla Supercharger,Bronx,NY,,,12.0,Tesla,200-9,40.863231,-73.828839,,TESLA,Public,,,,
149300,ELEC,Atlantic Center - Tesla Supercharger,Brooklyn,NY,,,12.0,Tesla,200-9,40.683715,-73.974337,,TESLA,Public,,,,
149312,ELEC,The Shops at Atlas Park - Tesla Supercharger,Glendale,NY,,,10.0,Tesla,200-9,40.707998,-73.866983,,TESLA,Public,,,,
149318,ELEC,South Meadow Marketplace - Tesla Supercharger,Ithaca,NY,,,8.0,Tesla,200-9,42.428603,-76.509111,,TESLA,Public,,,,
149341,ELEC,Arcadian Shopping Center - Tesla Supercharger,Ossining,NY,,,12.0,Tesla,200-9,41.144026,-73.861257,,TESLA,Public,,,,
149365,ELEC,Palisades Shopping Center - Tesla Supercharger,West Nyack,NY,,,20.0,Tesla,200-9,41.094668,-73.955364,,TESLA,Public,,,,
149366,ELEC,Staples Plaza - Tesla Supercharger,Yorktown Heights,NY,,,12.0,Tesla,200-8,41.290501,-73.832487,,TESLA,Public,,,,
149380,ELEC,FEHBOCES ADK ED CNTR 1,Saranac Lake,NY,,2.0,,ChargePoint Network,GPS,44.35082,-74.11515,,J1772,Public,,,,
149477,ELEC,South Shore Nissan,Amityville,NY,,1.0,1.0,Non-Networked,GPS,40.6870902,-73.4148646,,CHADEMO J1772,Public - Appeler à l'avance,CALL,,,
149478,ELEC,Nissan of Bay Shore,Bay Shore,NY,,1.0,,Non-Networked,GPS,40.7356438,-73.2509486,,J1772,Public - Appeler à l'avance,CALL,,,
149491,ELEC,South Shore Nissan,Amityville,NY,,1.0,,Non-Networked,GPS,40.6870902,-73.4148646,,J1772,Privé,,,,
149492,ELEC,Nissan of Bay Shore,Bay Shore,NY,,1.0,,Non-Networked,GPS,40.7356438,-73.2509486,,J1772,Privé,,,,
149513,ELEC,CITY HALL 12534 CITY HALL 3,Hudson,NY,,2.0,,ChargePoint Network,GPS,42.249016,-73.78465,,J1772,Public,,,,
149544,ELEC,MOSEY MOSEY 1,Williamsville,NY,,2.0,,ChargePoint Network,GPS,42.959881,-78.758655,,J1772,Public,,,,
149545,ELEC,BURNS MGT SCH COMM BLDG 5,Latham,NY,,2.0,,ChargePoint Network,GPS,42.741806,-73.787998,,J1772,Public,,,,
149546,ELEC,BURNS MGT SCH COMM BLDG 2,Latham,NY,,2.0,,ChargePoint Network,GPS,42.739933,-73.788345,,J1772,Public,,,,
149620,ELEC,CITY OF BEACON STATION 1,Beacon,NY,,2.0,,ChargePoint Network,GPS,41.507568,-73.9776,,J1772,Public,,,,
149625,ELEC,HARMONY MILLS 1 WEST 2 2.3,Cohoes,NY,,2.0,,ChargePoint Network,GPS,42.778454,-73.70279,,J1772,Public,,,,
149626,ELEC,HARMONY MILLS 1 WEST 2 2.4,Cohoes,NY,,2.0,,ChargePoint Network,GPS,42.778393,-73.70271,,J1772,Public,,,,
