,pickup_date,weekday,total_amount,row_count
0,2023-01-01,Domingo,34885.03,1463
1,2023-01-02,Lunes,33659.66,1564
2,2023-01-03,Martes,44988.45,2125
3,2023-01-04,Miércoles,48908.01,2383
4,2023-01-05,Jueves,53844.19,2417
5,2023-01-06,Viernes,54754.92,2546
6,2023-01-07,Sábado,45773.16,2154
7,2023-01-08,Domingo,33994.77,1659
8,2023-01-09,Lunes,48166.29,2219
9,2023-01-10,Martes,47365.53,2171
10,2023-01-11,Miércoles,54574.59,2487
11,2023-01-12,Jueves,55321.73,2527
12,2023-01-13,Viernes,57267.04,2550
13,2023-01-14,Sábado,46712.9,2169
14,2023-01-15,Domingo,39132.29,1776
15,2023-01-16,Lunes,34087.99,1584
16,2023-01-17,Martes,49582.92,2246
17,2023-01-18,Miércoles,51929.6,2341
18,2023-01-19,Jueves,58688.47,2635
19,2023-01-20,Viernes,53905.96,2469
20,2023-01-21,Sábado,46766.19,2140
21,2023-01-22,Domingo,37111.81,1774
22,2023-01-23,Lunes,51416.77,2392
23,2023-01-24,Martes,52592.49,2413
24,2023-01-25,Miércoles,58470.83,2679
25,2023-01-26,Jueves,58244.31,2632
26,2023-01-27,Viernes,52953.78,2430
27,2023-01-28,Sábado,45295.09,2063
28,2023-01-29,Domingo,36434.26,1676
29,2023-01-30,Lunes,48783.26,2236
30,2023-01-31,Martes,51141.36,2311
31,2023-02-01,Miércoles,54269.78,2561
32,2023-02-02,Jueves,55765.16,2579
33,2023-02-03,Viernes,59861.73,2773
34,2023-02-04,Sábado,39822.94,1848
35,2023-02-05,Domingo,36952.65,1723
36,2023-02-06,Lunes,48241.76,2294
37,2023-02-07,Martes,53728.26,2462
38,2023-02-08,Miércoles,55794.55,2569
39,2023-02-09,Jueves,60004.77,2644
40,2023-02-10,Viernes,58642.77,2601
41,2023-02-11,Sábado,48788.04,2206
42,2023-02-12,Domingo,40408.13,1901
43,2023-02-13,Lunes,47594.16,2206
44,2023-02-14,Martes,54390.64,2466
45,2023-02-15,Miércoles,58027.24,2565
46,2023-02-16,Jueves,59075.72,2622
47,2023-02-17,Viernes,59826.66,2668
48,2023-02-18,Sábado,45369.34,2127
49,2023-02-19,Domingo,38988.76,1786
50,2023-02-20,Lunes,39382.48,1778
51,2023-02-21,Martes,51929.48,2325
52,2023-02-22,Miércoles,54476.0,2477
53,2023-02-23,Jueves,56616.59,2521
54,2023-02-24,Viernes,57602.88,2681
55,2023-02-25,Sábado,44506.51,2071
56,2023-02-26,Domingo,39221.02,1717
57,2023-02-27,Lunes,50262.27,2399
58,2023-02-28,Martes,48369.91,2222
59,2023-03-01,Miércoles,56782.83,2623
60,2023-03-02,Jueves,57278.85,2583
61,2023-03-03,Viernes,60569.53,2718
62,2023-03-04,Sábado,46778.57,2186
63,2023-03-05,Domingo,40996.68,1854
64,2023-03-06,Lunes,50396.02,2307
65,2023-03-07,Martes,56608.93,2596
66,2023-03-08,Miércoles,56247.61,2492
67,2023-03-09,Jueves,60839.34,2605
68,2023-03-10,Viernes,58039.02,2560
69,2023-03-11,Sábado,45100.87,2101
70,2023-03-12,Domingo,38843.81,1762
71,2023-03-13,Lunes,52111.49,2423
72,2023-03-14,Martes,51498.26,2334
73,2023-03-15,Miércoles,58311.63,2578
74,2023-03-16,Jueves,61379.18,2685
75,2023-03-17,Viernes,60017.4,2636
76,2023-03-18,Sábado,47002.17,2134
77,2023-03-19,Domingo,41637.53,1847
78,2023-03-20,Lunes,51542.86,2311
79,2023-03-21,Martes,51250.45,2255
80,2023-03-22,Miércoles,51130.78,2286
81,2023-03-23,Jueves,51462.69,2272
82,2023-03-24,Viernes,53632.33,2390
83,2023-03-25,Sábado,44772.97,2035
84,2023-03-26,Domingo,36533.35,1689
85,2023-03-27,Lunes,50160.42,2308
86,2023-03-28,Martes,47940.37,2134
87,2023-03-29,Miércoles,53878.47,2398
88,2023-03-30,Jueves,57825.21,2507
89,2023-03-31,Viernes,55338.39,2430
90,2023-04-01,Sábado,44739.76,1999
91,2023-04-02,Domingo,40573.46,1823
92,2023-04-03,Lunes,51148.02,2303
93,2023-04-04,Martes,52557.45,2289
94,2023-04-05,Miércoles,54079.08,2381
95,2023-04-06,Jueves,52893.32,2278
96,2023-04-07,Viernes,48276.41,2166
97,2023-04-08,Sábado,42798.6,1940
98,2023-04-09,Domingo,41879.31,1872
99,2023-04-10,Lunes,50799.14,2228
100,2023-04-11,Martes,52003.73,2245
101,2023-04-12,Miércoles,50292.22,2160
102,2023-04-13,Jueves,52957.07,2291
103,2023-04-14,Viernes,54810.58,2373
104,2023-04-15,Sábado,48363.27,2102
105,2023-04-16,Domingo,41834.04,1780
106,2023-04-17,Lunes,50631.4,2255
107,2023-04-18,Martes,53939.37,2352
108,2023-04-19,Miércoles,52730.18,2244
109,2023-04-20,Jueves,59238.59,2451
110,2023-04-21,Viernes,44881.21,1917
111,2023-04-22,Sábado,48464.28,2085
112,2023-04-23,Domingo,41121.98,1720
113,2023-04-24,Lunes,51015.59,2206
114,2023-04-25,Martes,57088.41,2396
115,2023-04-26,Miércoles,59100.55,2528
116,2023-04-27,Jueves,63568.54,2651
117,2023-04-28,Viernes,63011.68,2667
118,2023-04-29,Sábado,43869.66,1902
119,2023-04-30,Domingo,40580.77,1787
120,2023-05-01,Lunes,55411.4,2415
121,2023-05-02,Martes,49654.39,2148
122,2023-05-03,Miércoles,52950.92,2299
123,2023-05-04,Jueves,54763.79,2376
124,2023-05-05,Viernes,53498.84,2299
125,2023-05-06,Sábado,49335.84,2086
126,2023-05-07,Domingo,42637.29,1790
127,2023-05-08,Lunes,51019.33,2247
128,2023-05-09,Martes,53235.56,2271
129,2023-05-10,Miércoles,54582.45,2293
130,2023-05-11,Jueves,63432.7,2616
131,2023-05-12,Viernes,60312.15,2587
132,2023-05-13,Sábado,49806.17,2113
133,2023-05-14,Domingo,47807.73,1990
134,2023-05-15,Lunes,54148.84,2310
135,2023-05-16,Martes,56989.83,2298
136,2023-05-17,Miércoles,65147.06,2586
137,2023-05-18,Jueves,65416.1,2620
138,2023-05-19,Viernes,64297.13,2623
139,2023-05-20,Sábado,50177.36,2120
140,2023-05-21,Domingo,47542.28,1873
141,2023-05-22,Lunes,51277.93,2275
142,2023-05-23,Martes,52656.48,2201
143,2023-05-24,Miércoles,58842.01,2459
144,2023-05-25,Jueves,57948.9,2461
145,2023-05-26,Viernes,55161.61,2279
146,2023-05-27,Sábado,43722.51,1794
147,2023-05-28,Domingo,37625.36,1557
148,2023-05-29,Lunes,38290.14,1676
149,2023-05-30,Martes,52179.71,2161
150,2023-05-31,Miércoles,57927.21,2345
151,2023-06-01,Jueves,28.75,1
152,2023-06-05,Lunes,20.04,1
153,2023-06-06,Martes,0.0,2
