pickup_date,trip_distance,fare_amount,tip_amount,PULocationID,DOLocationID,total_amount,payment_type
2001-01-01,64.75999999999999,273.1,23.46,1149,946,337.65999999999997,9
2002-12-31,28.509999999999998,125.2,0.0,642,348,148.75,8
2003-01-01,76.48,368.2,22.12,789,1061,428.7,9
2008-12-31,102.99000000000001,430.9,56.96,1853,2143,576.11,20
2009-01-01,1.92,14.4,0.0,293,406,20.9,4
2014-11-19,6.43,33.1,8.73,170,255,52.38,1
2022-10-24,0.0,295.0,38.57,277,493,337.27,5
2022-10-25,10.780000000000001,364.0,51.62,1064,1228,423.21999999999997,10
2022-12-31,82.8,415.7,106.98,4024,3633,658.23,30
2023-01-01,395174.12,1678504.53,276684.88,12186437,12043111,2347474.51,94377
2023-01-02,298874.57,1444484.02,237793.89,10698358,10568672,2033444.79,83359
2023-01-03,348516.38,1715578.34,292241.73,14239263,14105599,2488095.37,106426
2023-01-04,336227.96,1804562.62,314904.88,15968696,15738609,2645252.0,116535
2023-01-05,357666.94,1854466.88,329524.08,16919593,16721358,2734582.83,122460
2023-01-06,341940.39,1827666.82,329407.54,17133243,16840780,2713405.82,123594
2023-01-07,572803.98,1842344.2,327919.15,17240219,17008847,2663632.38,126543
2023-01-08,335369.48,1680307.17,296401.23,13863962,13665821,2405499.78,102570
2023-01-09,319980.69,1607153.43,289229.09,14337719,14150086,2372112.11,102995
2023-01-10,316035.86,1762314.83,327937.62,16862323,16704777,2630358.62,119233
2023-01-11,329485.02,1847509.89,349508.39,17932293,17712274,2768538.41,126044
2023-01-12,472638.43,2058396.72,386153.0,18734236,18474130,3059892.1,130696
2023-01-13,507359.86,2068854.47,389525.01,18362498,18168342,3085231.0,132072
2023-01-14,374477.68,2011705.94,371012.54,18382934,18244599,2924021.65,135181
2023-01-15,533374.7999999999,1804925.8,325168.73,15720276,15575154,2608082.32,115710
2023-01-16,317770.84,1588370.71,292377.4,13276121,13161410,2297121.36,96155
2023-01-17,358628.8,1896275.22,357288.86,17014364,16821272,2815076.05,119973
2023-01-18,370269.51,1916225.0,364707.71,17955010,17650450,2860057.87,125826
2023-01-19,357185.34,2059725.1,390803.91,19298520,19065502,3068876.8,133589
2023-01-20,374602.86,1962783.41,366779.27,18336053,18018987,2927241.05,130277
2023-01-21,345539.74,1900185.2,347482.42,18361754,18200372,2767060.01,132682
2023-01-22,376287.71,1695349.04,308145.82,14534691,14388273,2451610.54,106220
2023-01-23,589139.6,1634610.29,304595.22,15094127,14972685,2432855.02,107359
2023-01-24,326106.15,1818727.2,345473.46,17532525,17373388,2726300.03,123276
2023-01-25,337490.92,1864784.64,359467.92,18494358,18239300,2806736.28,127419
2023-01-26,374938.91,2073647.9,396543.34,19362563,19089203,3100411.71,134818
2023-01-27,375134.62,1984723.17,374313.21,18713988,18362468,2972187.57,132588
2023-01-28,350012.54,1898556.55,348312.17,18371261,18155657,2764630.92,132217
2023-01-29,327813.19,1672456.17,304647.9,14332388,14234740,2417267.6,104325
2023-01-30,295279.01,1558358.92,286774.11,14067616,13911410,2309069.64,100498
2023-01-31,482645.72,1792734.36,337341.75,16970334,16780740,2667467.97,118132
2023-02-01,333510.87,1872072.69,356657.56,18188432,17907000,2806302.2,126523
2023-02-02,364028.44,1988812.56,380989.39,19108082,18808424,2982669.88,132478
2023-02-03,537156.29,1973759.69,377332.88,19289348,18905130,2975692.75,133905
2023-02-04,794037.3,1654842.27,305259.08,16173643,15969931,2417880.51,114839
2023-02-05,329491.68,1629294.25,293967.74,13693528,13579234,2349277.0,100054
2023-02-06,336179.76,1690242.04,314345.44,15274327,15161680,2509955.21,109131
2023-02-07,337917.73,1848793.41,355003.33,17960296,17748048,2773960.12,124429
2023-02-08,351021.33,1916272.17,367092.14,18362452,18046945,2870839.11,126883
2023-02-09,382896.27,2128943.89,405840.84,19354574,19023401,3166657.91,134439
2023-02-10,389515.15,2080215.69,390556.99,19073314,18764037,3101093.81,135436
2023-02-11,374188.31,2005945.71,363692.67,18746669,18592429,2904755.79,135128
2023-02-12,348923.66,1774416.89,319508.82,15318334,15207701,2567642.78,111270
2023-02-13,344675.77,1711198.69,314560.74,15640738,15423299,2536309.66,111069
2023-02-14,329683.09,1933682.66,358507.05,18236444,18035611,2873399.6,127641
2023-02-15,404046.42,2084739.58,396208.91,18604163,18270020,3099368.63,129773
2023-02-16,384194.93,2076948.52,393303.0,18965616,18730860,3088931.52,132468
2023-02-17,408542.95,2038791.2,382667.07,18440051,18187940,3042301.13,132190
2023-02-18,337172.82,1880304.59,334362.62,17017553,16798095,2714296.3,127105
2023-02-19,380718.81,1716954.68,303616.78,14447182,14330134,2466801.43,109075
2023-02-20,330321.91,1621996.87,289546.93,12986912,12826689,2327346.96,97001
2023-02-21,706607.56,1850022.61,343304.48,16667738,16572727,2744981.8,119421
2023-02-22,369584.08,2023743.56,380325.18,18620971,18460724,3005980.06,131001
2023-02-23,524070.43,2134784.64,396900.34,19344048,19097571,3164734.37,136127
2023-02-24,403804.31,2089791.72,387602.69,19173060,18895241,3109978.34,137062
2023-02-25,383351.66,1998440.77,362745.77,18576044,18364252,2892835.93,134159
2023-02-26,368546.2,1796368.43,323618.18,14658529,14634683,2581990.06,108350
2023-02-27,346903.71,1758022.57,322898.68,15562826,15383657,2598784.69,111329
2023-02-28,370201.33,1814438.82,342819.17,16991001,16848038,2706832.88,118718
2023-03-01,519636.48,2131427.51,401611.25,19346323,19148990,3162895.42,135397
2023-03-02,579456.77,2210942.66,417552.36,19888220,19690257,3283879.14,139319
2023-03-03,565479.02,2092926.56,392103.97,19370624,19099338,3122397.02,137373
2023-03-04,371406.46,1987033.19,360855.75,18510160,18368437,2880126.15,133562
2023-03-05,376626.82,1898378.18,342840.65,15693415,15628393,2732320.22,115908
2023-03-06,354168.44,1802774.29,332151.78,15700127,15589278,2663271.57,112509
2023-03-07,360398.43,2029183.84,384877.87,19228183,19032535,3036382.61,134082
2023-03-08,420337.15,2177352.8,414566.04,19802753,19577453,3238932.17,139367
2023-03-09,407330.57,2272687.41,424662.79,20432209,20195716,3368464.37,145074
2023-03-10,451437.39,2251334.63,421449.97,20202722,19946021,3349152.89,143796
2023-03-11,365272.44,1954969.86,356213.05,18263437,18155504,2838907.11,132338
2023-03-12,380664.07,1873362.94,338236.51,15363582,15342568,2697944.35,113889
