pickup_date,trip_distance,fare_amount,tip_amount,PULocationID,DOLocationID,total_amount,payment_type
2008-12-31,5.17,23.0,1.0,697,796,29.35,5.0
2009-01-01,39.6,155.5,0.0,3502,3425,174.35,36.0
2010-09-23,5.05,112.5,0.01,679,617,115.21,7.0
2020-12-31,1.99,8.0,0.0,168,75,9.3,2.0
2021-01-01,5337.77,21609.32,2005.33,105570,132339,25312.43,917.0
2021-01-02,137525.07,35190.33,3498.58,197255,245489,41379.39,1746.0
2021-01-03,96001.77,25645.25,2653.44,139178,169726,30273.89,1078.0
2021-01-04,53938.46,58572.43,5958.14,323794,381494,69101.57,2070.0
2021-01-05,51789.5,61776.7,6239.61,332108,387124,72429.06,2089.0
2021-01-06,76617.79000000001,62190.62,6296.09,340148,403155,73453.28,2191.0
2021-01-07,22146.46,60782.39,6266.54,334441,389703,71680.06,2043.0
2021-01-08,701619.8,59096.68,5929.51,325230,375599,69764.14,2179.0
2021-01-09,88181.5,37470.66,3644.97,210961,257035,43967.04,1849.0
2021-01-10,6228.26,26397.38,2726.68,150333,190761,31459.22,1274.0
2021-01-11,167065.56,60756.23,6392.9,333003,396265,71979.49,2114.0
2021-01-12,30454.99,61512.96,6398.52,333563,398267,72755.92,2143.0
2021-01-13,215102.2,64058.85,6637.96,352187,405224,75721.51,2123.0
2021-01-14,14557.34,63102.63,6707.16,350938,414545,74750.8,2182.0
2021-01-15,13359.55,59552.43,6172.33,327423,379650,70424.23,2136.0
2021-01-16,35458.14,35073.86,3634.66,196718,241382,41567.340000000004,1771.0
2021-01-17,41516.27,28515.51,2942.1,153476,184090,33822.83,1207.0
2021-01-18,287817.31,39438.18,4095.05,209401,260122,46442.36,1394.0
2021-01-19,229064.05000000002,63394.98,3627.29,349533,412743,76565.57,1992.0
2021-01-20,25600.69,60778.14,2087.1,333525,396958,71919.58,1948.0
2021-01-21,165033.88,60339.77,2090.88,337482,397729,71226.54,2100.0
2021-01-22,17006.03,60822.76,2127.2,333475,396085,71694.89,2215.0
2021-01-23,8849.01,36384.19,1831.91,203839,248522,43073.29,1864.0
2021-01-24,6580.89,26327.92,1366.22,142331,182767,31375.32,1211.0
2021-01-25,83831.8,58260.57,1943.07,321422,378607,68673.5,1850.0
2021-01-26,73613.79,56526.909999999996,1967.02,300182,353756,66652.17,1814.0
2021-01-27,13682.83,61685.88,2197.27,345042,401531,72767.14,2080.0
2021-01-28,13431.01,60656.25,2495.42,330017,404284,72056.01,2253.0
